project,activity,domain,institution,driving_model,experiment,ensemble,model,model_version,frequency,variable,version
cordex-fpsconv,output,ALP-3,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,fpsconv-x2yn2-v1,1hr,pr,v20230508
cordex-fpsconv,output,ALP-3,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,fpsconv-x2yn2-v1,1hr,tas,v20230731
cordex-fpsconv,output,ALP-3,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,fpsconv-x2yn2-v1,1hr,ts,v20230731
cordex-fpsconv,output,ALP-3,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,fpsconv-x2yn2-v1,1hr,uas,v20230731
cordex-fpsconv,output,ALP-3,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,fpsconv-x2yn2-v1,1hr,vas,v20230731
cordex-fpsconv,output,ALP-3,ICTP,ECMWF-ERAINT,evaluation,r1i1p1,RegCM4-7,fpsconv-x2yn2-v1,1hr,prw,v20230731
cordex-fpsconv,output,ALP-3,CLMcom-CMCC,ECMWF-ERAINT,evaluation,r1i1p1,CCLM5-0-9,fpsconv-x2yn2-v1,day,tasmin,v20230608
cordex-fpsconv,output,ALP-3,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,day,pr,v20230620
cordex-fpsconv,output,ALP-3,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,day,pr,v20230314
cordex-fpsconv,output,ALP-3,CNRM,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,1hr,pr,v20230620
cordex-fpsconv,output,ALP-3,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,1hr,pr,v20230620
cordex-fpsconv,output,ALP-3,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,mon,pr,v20230620
cordex-fpsconv,output,ALP-3,CNRM,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,day,pr,v20230620
cordex-fpsconv,output,ALP-3,CNRM,CNRM-CERFACS-CNRM-CM5,rcp85,r1i1p1,AROME41t1,fpsconv-x2yn2-v1,mon,pr,v20230620
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,huss,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,pr,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,prw,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,rlus,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,rsds,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,tas,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,ts,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,uas,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,1hr,vas,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,day,tasmax,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,day,tasmin,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,fx,orog,v20230531
cordex-fpsconv,output,ALP-3,UCAN,ECMWF-ERAINT,evaluation,r1i1p1,WRF381BI,fpsconv-x1n2-v1,fx,sftlf,v20230531
